id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
209,POM0211,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,13,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313325,101.2206289,41.25,2.05,Belum,-,-,Parman,5/30/2021 10:45,200000,5205.91,-,Brown (1997),media/1622358790737.jpg,media/1622358803239.jpg,media/1622358779608.jpg,media/1622372766607.jpg,
210,POM0212,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3312646,101.2206553,44.53,2.06,Belum,-,-,Risman,5/30/2021 11:10,200000,5205.91,-,Brown (1997),media/1622358845710.jpg,media/1622358856539.jpg,media/1622358869888.jpg,media/1622372876862.jpg,
211,POM0213,Sasonduok,Endospermum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,49,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3312652,101.2206536,42.67,2.06,Belum,-,-,Risman,5/30/2021 11:37,200000,8172.4,-,Brown (1997),media/1622358981044.jpg,media/1622358992053.jpg,media/1622358970678.jpg,media/1622372960793.jpg,
212,POM0214,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.331296,101.220638,43.9,2.05,Belum,-,-,Parjok,5/30/2021 11:15,200000,6224.27,-,Brown (1997),media/1622359034637.jpg,media/1622359046614.jpg,media/1622359077333.jpg,media/1622373046323.jpg,
213,POM0215,Kepinis,Sloetia elongata,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44,13,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313175,101.2206547,42.51,2.05,Belum,-,-,Ependi,5/30/2021 11:41,200000,6224.27,-,Brown (1997),media/1622359129214.jpg,media/1622359140288.jpg,media/1622359160828.jpg,media/1622373131819.jpg,
214,POM0216,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,47,17,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.331318,101.2206749,41.34,2.05,Belum,-,-,Wazar,5/30/2021 11:20,200000,7354.63,-,Brown (1997),media/1622359225772.jpg,media/1622359236242.jpg,media/1622359259445.jpg,media/1622373212990.jpg,
215,POM0217,Ridan,Nephelium mangayi,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,12,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3311573,101.2209009,38.37,2.08,Belum,-,-,Zamhar,5/30/2021 11:45,200000,5205.91,-,Brown (1997),media/1622359305593.jpg,media/1622359315476.jpg,media/1622359332734.jpg,media/1622373297444.jpg,
216,POM0218,Balam,Palaquium hexandrum,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,54,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3311252,101.2209643,35.11,2.08,Belum,-,-,Sahlan,5/30/2021 11:25,200000,10449.84,-,Brown (1997),media/1622359387978.jpg,media/1622359399220.jpg,media/1622359422512.jpg,media/1622373378738.jpg,
217,POM0219,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,70,19,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3310964,101.2209802,37.63,2.08,Belum,-,-,Parjok,5/30/2021 11:50,200000,20148.91,-,Brown (1997),media/1622359482975.jpg,media/1622359506058.jpg,media/1622359527633.jpg,media/1622373454769.jpg,
218,POM0220,Kolek Siminai,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,57,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3310288,101.2209743,39.91,2.09,Belum,-,-,Dahlan,5/30/2021 11:30,200000,11981.66,-,Brown (1997),media/1622359569412.jpg,media/1622359589334.jpg,media/1622359620384.jpg,media/1622373663528.jpg,
